name,pseudonym,born,nationality
Agatha Christie,Agatha Christie,,
Albert Camus,Albert Camus,,
Aldous Huxley,Aldous Huxley,,
Aleksandr Sergeyevich Pushkin,Aleksandr Sergeyevich Pushkin,,
Alexandre Dumas,Alexandre Dumas,,
Anne Frank,Anne Frank,,
Anton Chekhov,Anton Chekhov,,
Ayn Rand,Ayn Rand,,
Beatrix Potter,Beatrix Potter,,
C.S. Lewis,C.S. Lewis,,
Charles Dickens,Charles Dickens,,
Charlotte Bronte,Charlotte Bronte,,
Czeslaw Milosz,Czeslaw Milosz,,
D. H. Lawrence,D. H. Lawrence,,
Dante Alighieri,Dante Alighieri,,
Douglas Adams,Douglas Adams,,
E. M. Forster,E. M. Forster,,
Edgar Allan Poe,Edgar Allan Poe,,
Edith Wharton,Edith Wharton,,
Emily Bronte,Emily Bronte,,
Emily Dickinson,Emily Dickinson,,
Enid Blyton,Enid Blyton,,
Ernest Hemingway,Ernest Hemingway,,
Evelyn Waugh,Evelyn Waugh,,
F. Scott Fitzgerald,F. Scott Fitzgerald,,
Franz Kafka,Franz Kafka,,
Fyodor Dostoevsky,Fyodor Dostoevsky,,
G.K. Chesterton,G.K. Chesterton,,
Gabriel Garcia Marquez,Gabriel Garcia Marquez,,
Gabriela Mistral,Gabriela Mistral,,
George Bernard Shaw,George Bernard Shaw,,
George Eliot,George Eliot,,
George Orwell,George Orwell,,
George R.R. Martin,George R.R. Martin,,
Graham Greene,Graham Greene,,
Henry David Thoreau,Henry David Thoreau,,
Henry Miller,Henry Miller,,
Homer,Homer,,
Honore de Balzac,Honore de Balzac,,
Hunter S. Thompson,Hunter S. Thompson,,
Ian McEwan,Ian McEwan,,
J.D. Salinger,J.D. Salinger,,
J.K. Rowling,J.K. Rowling,,
J.R.R. Tolkien,J.R.R. Tolkien,,
Jack Kerouac,Jack Kerouac,,
Jack London,Jack London,,
Jalalud'din Rumi,Jalalud'din Rumi,,
James Joyce,James Joyce,,
Jane Austen,Jane Austen,,
Jean Paul Sarte,Jean Paul Sarte,,
Johann Wolfgang von Goethe,Johann Wolfgang von Goethe,,
John Keats,John Keats,,
John Milton,John Milton,,
John Steinbeck,John Steinbeck,,
John Updike,John Updike,,
Jorge Luis Borges,Jorge Luis Borges,,
Joseph Conrad,Joseph Conrad,,
Joseph Heller,Joseph Heller,,
Jules Verne,Jules Verne,,
Khalid Hosseini,Khalid Hosseini,,
Leo Tolstoy,Leo Tolstoy,,
Marcel Proust,Marcel Proust,,
Marcus Aurelius,Marcus Aurelius,,
Mark Twain,Mark Twain,,
Maya Angelou,Maya Angelou,,
Oscar Wilde,Oscar Wilde,,
Paulo Coelho,Paulo Coelho,,
Paulo Coelho,Paulo Coelho,,
Phillip Roth,Phillip Roth,,
Plato,Plato,,
Rabindranath Tagore,Rabindranath Tagore,,
Ralph Waldo Emerson,Ralph Waldo Emerson,,
Roald Dahl,Roald Dahl,,
Robert Frost,Robert Frost,,
Robert Louis Stevenson,Robert Louis Stevenson,,
Rudyard Kipling,Rudyard Kipling,,
Salman Rushdie,Salman Rushdie,,
Samuel Taylor Coleridge,Samuel Taylor Coleridge,,
Sir Arthur Conan Doyle,Sir Arthur Conan Doyle,,
Stephen King,Stephen King,,
T.S.Eliot,T.S.Eliot,,
Tennessee Williams,Tennessee Williams,,
Thomas Hardy,Thomas Hardy,,
Thomas Mann,Thomas Mann,,
Toni Morrison,Toni Morrison,,
Victor Hugo,Victor Hugo,,
Virgil,Virgil,,
Virginia Woolf,Virginia Woolf,,
Vladimir Nabokov,Vladimir Nabokov,,
W H Auden,W H Auden,,
W. Somerset Maugham,W. Somerset Maugham,,
Walt Whitman,Walt Whitman,,
Wilfred Owen,Wilfred Owen,,
William Blake,William Blake,,
William Butler Yeats,William Butler Yeats,,
William Faulkner,William Faulkner,,
William Shakespeare,William Shakespeare,,
William Wordsworth,William Wordsworth,,
